title,director,cast,country,release_year,adult,duration,genres,description
Feo pero sabroso,Fernando Ayllón,"Iván Marín, Lina Cardona, Carlos Barbosa, Ana Cristina Botero, Karine Amaya, Fabiola Posada, Nelson Polanía, Andrea Carvajal, Rocío Tavera, Alberto Saavedra, Christian López, Jorge Herrera, Ricardo Quevedo",Colombia,2018,1,91 min,"Comedy, International","When an unattractive man gets engaged to a beautiful woman, their families oppose the union and the priest set to perform the ceremony is kidnapped."
First Kid,David Evans,"Sinbad , Robert Guillaume, Timothy Busfield, Brock Pierce, James Naughton, Art Fleur",United States,1996,0,102 min,"Buddy, Comedy, Coming of Age",A wisecracking Secret Service agent is assigned to the President's son.
First Match,Olivia Newman,"Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo, Jharrel Jerome, Kim Ramirez, Jared Kemp, Allen Maldonado",United States,2018,1,103 min,"Drama, Independent , Sports",A tenacious high school girl raised in foster homes in the inner city tries to reconnect with her ex-con father by joining a boys wrestling team.
Hurricane Bianca: From Russia With Hate,Matt Kugelman,"Roy Haylock, Rachel Dratch, Brian McCook, D.J. 'Shangela' Pierce, Doug Plaut, Cheyenne Jackson, Kristen Johnston, Heather McDonald, Wanda Sykes, Janeane Garofalo",United States,2018,1,85 min,"Comedy, Independent , LGBTQ","When Texas teacher Richard is lured to Russia under false pretenses by his enemy Deb, his drag alter ego Bianca soon turns the country upside down."
Imagine That,Karey Kirkpatrick,"Eddie Murphy, Thomas Haden Church, Yara Shahidi, Ronny Cox, Stephen Rannazzisi, Nicole Ari Parker, DeRay Davis, Vanessa Williams, Martin Sheen, Lauren Weedman, Timm Sharp, Bobb'e J. Thompson","United States, Germany",2009,0,108 min,"Children, Family , Comedy, Sci-Fi, Fantasy","Work problems are piling up for a businessman. But when he discovers a pathway to his daughter's imaginary world, he starts finding some solutions."
Jab We Met,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh, Pavan Malhotra, Kamal Tiwari, Kiran Juneja, Divya Seth, Saumya Tandon",India,2007,0,143 min,"Comedy, International , Music, Musical",Changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy Bollywood romantic comedy.
Jesus: Countdown to Calvary,Gerry Hoban,Hugh Bonneville,"Ireland, United States, France",2018,0,53 min,"Documentary, Faith and Spirituality",Host Hugh Bonneville traces Jesus' last days to learn how the execution of an itinerant Jewish preacher had an immense impact on society.
Kanavu Variyam,Arun Chidambaram,"Jiya Anil Manne, Arun Chidambaram, T.P. Gajendran, Gnanasambandam, M. Ilavarasu, Yog Japee, Mayilsamy, Black Pandi",India,2017,0,104 min,"Comedy, Drama, International","Despite doubts from fellow villagers who think he’s crazy, an ambitious dropout commits himself to solving a persistent local electricity crisis."
Kingpin,"Peter Farrelly, Bobby Farrelly","Woody Harrelson, Randy Quaid, Vanessa Angel, Bill Murray, Chris Elliott, William Jordan, Richard Tyson, Lin Shaye",United States,1996,0,114 min,"Comedy, Cult , Sports","After a bowler loses his hand, his career takes a nosedive. That is, until he uncovers the next big thing: an Amish kid named Ishmael."
Mike Epps: Don't Take It Personal,L. Frazier,Mike Epps,United States,2015,1,60 min,StandUpComedy,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.
NOVA: Black Hole Apocalypse,Rushmore DeNooyer,Janna Levin,United States,2018,0,113 min,Documentary,"Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race."
Puss in Boots,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Mike Mitchell",United States,2011,0,92 min,"Children, Family , Comedy",The fabled feline heads to the Land of Giants with friends Humpty Dumpty and Kitty Softpaws on a quest to nab its greatest treasure: the Golden Goose.
Quartet,Dustin Hoffman,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Andrew Sachs, Sheridan Smith, David Ryall, Trevor Peacock, Gwyneth Jones",United Kingdom,2012,0,98 min,"Comedy, Drama, Independent","To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
Sarah Silverman A Speck of Dust,Liam Lynch,Sarah Silverman,United States,2017,1,71 min,StandUpComedy,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments."
Saving Capitalism,Jacob Kornbluth,Robert Reich,United States,2017,0,73 min,Documentary,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.
St. Agatha,Darren Lynn Bousman,"Sabrina Kern, Carolyn Hennesy, Courtney Halverson, Shaun Fletcher, Lindsay Seim, Hannah Fierman, Trin Miller, Seth Michaels, Justin Miles",United States,2018,1,103 min,"Horror , Independent","Unwed and pregnant, a young woman flees her abusive home in 1950s Georgia and takes refuge at a mysterious convent with a terrible secret."
Superlopez,Javier Ruiz Caldera,"Dani Rovira, Alexandra Jiménez, Julián López, Maribel Verdú, Pedro Casablanc, Gracia Olayo, Ferran Rañé, Gonzalo de Castro, Mireia Portas",Spain,2018,1,108 min,"Action, Adventure, Comedy, International","In this adaptation of the comic strip, Juan López must balance an office job with heroic feats to save the love of his life and native planet Chitón."
The Apple Dumpling Gang,Norman Tokar,"Bill Bixby, Susan Clark, Don Knotts, Tim Conway, David Wayne, Slim Pickens",United States,1975,0,100 min,"Comedy, Family, Western",Bumbling outlaws help three young orphans protect their huge gold nugget. See details for advisory.
The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Violet Nelson, Elle-Máijá Tailfeathers, Charlie Hannah, Barbara Eve Harris, Sonny Surowiec, Jay Cardinal Villeneuve, Tony Massil, Aidan Dee, James Angus Cowan, Anthony Bolognese","Canada, Norway",2019,1,106 min,"Drama, Independent","After a traumatic event, two Indigenous women in Vancouver are brought together and form a deep bond despite leading different lives."
The Devil All The Time,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",United States,2020,1,139 min,"Drama, Thriller",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
The Texas Chainsaw Massacre,Tobe Hooper,"Gunnar Hansen, Jim Siedow, Marilyn Burns, Edwin Neal, Paul A. Partain, Teri McMinn, William Vail, John Dugan, John Henry Faulk, Allen Danziger",United States,1974,1,83 min,"Cult , Horror , Independent","When some friends visit a vandalized graveyard, they come upon a chainsaw-wielding maniac, and it's a fight to the bloody death between good and evil."
Vampires vs. the Bronx,Oz Rodriguez,"Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Method Man, Shea Whigham, Coco Jones, The Kid Mero, Chris Redd, Vladimir Caamaño, Jeremie Harris, Adam David Thompson, Zoe Saldana",United States,2020,0,86 min,"Comedy, Horror",Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.
Aaina,Deepak Sareen,"Jackie Shroff, Saeed Jaffrey, Deepak Tijori, Maya Alagh, Dina Pathak, Juhi Chawla, Amrita Singh",India,1993,0,150 min,"Drama, International, Romantic","Sisters, Roma and Reema fall in love with the same man, Ravi. But when he falls in love with an arrogant and confident Roma, Reema is left heart-broken. The marriage is fixed, but on their wedding day, Roma leaves him to accept an offer for a movie. An angry Ravi marries Reema instead. After a rocky start, they soon fall in love until Roma returns and demands to be accepted as Ravi's wife."
An American Girl: McKenna Shoots for the Stars,Vince Marcello,"Jade Pettyjohn, Kerris Dorsey, Nia Vardalos, Ian Ziering, Ysa Penarejo, Cathy Rigby, Kally Berard, Talia Pura, Paula Rivera, George Chiang","United States, Canada",2012,0,94 min,"Children, Family , Comedy, Drama","A talented young gymnast struggles with her schoolwork and an injury. But with help from her tutor, she gets her confidence back."
Animals on the Loose: A You vs. Wild Movie,Ben Simms,Bear Grylls,United States,2021,0,139 min,"Children, Family","When wild animals escape from a sanctuary, Bear Grylls — and you — must pursue them and secure their protective habitat. An interactive special."
Coolie No. 1,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",India,2020,0,135 min,"Comedy, Drama","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju’s real indentity is exposed but he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go out of hand."
Crash,Paul Haggis,"Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito, William Fichtner, Brendan Fraser, Terrence Howard, Ludacris, Thandie Newton, Ryan Phillippe, Larenz Tate, Nona Gaye, Michael Peña","United States, Germany",2004,1,112 min,"Drama, Independent","In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period."
Dragonheart: A New Beginning,Doug Lefler,"Christopher Masterson, Harry Van Gorkum, Rona Figueroa, Matt Hickey, Henry O, Tom Burke, Robby Benson, Ken Shorter, John Woodnutt, Lubomir Misak",United States,2000,0,84 min,"Action, Adventure, Sci-Fi, Fantasy","This sequel introduces Draco the dragon's offspring, Drake, who dreams of becoming a knight and teams up with a stable boy to master his skills."
EVANGELION: DEATH (TRUE)²,Hideaki Anno,"Megumi Ogata, Kotono Mitsuishi, Megumi Hayashibara, Yuko Miyamura, Yuriko Yamaguchi, Fumihiko Tachiki, Motomu Kiyokawa, Koichi Yamadera, Takehito Koyasu, Hiro Yuki, Miki Nagasawa, Mugihito, Akira Ishida",Japan,1998,1,69 min,"Action, Adventure, Anime , International","Fifteen years after the Second Impact, apathetic teen Shinji joins his father's group NERV to fight the Angels. But the truth may destroy them all."
Giant Little Ones,Keith Behrman,"Josh Wiggins, Darren Mann, Taylor Hickson",Canada,2019,1,93 min,"Drama, Young Adult Audience","Franky Winter (Josh Wiggins) and Ballas Kohl (Darren Mann) have been best friends since childhood. They are high school royalty: handsome, stars of the swim team and popular with girls. They live a perfect teenage life - until the night of Franky's epic 17th birthday party, when Franky and Ballas are involved in an unexpected incident that changes their lives forever."
Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",United States,2016,0,131 min,Comedy,"This honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse."
Her Only Choice,Christel Gibson,"Denise Boutte, Timon Kyle Durrett, Leon, Tamara Tunie, Vanessa Bell Calloway, Tiffany Snow, Keith Arthur Bolden, Elise Neal, Jeryl Prescott",United States,2018,0,87 min,Drama,A woman must decide if she’s willing to end her pregnancy to save her own life after being diagnosed with breast cancer.
Home Alone 3,Raja Gosnell,"Alex D. Linz, Haviland Morris, Olek Krupa",United States,1997,0,103 min,"Comedy, Family","A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox."
Magician Mickey,David Hand,"Pinto Colvig, Walt Disney, Clarence Nash",United States,1937,0,8 min,"Animation, Comedy, Family",Donald continually heckles Mickey's magic act. See details for advisory.
Natalie Palamides: Nate - A One Man Show,Phil Burgers,Natalie Palamides,United States,2020,1,60 min,Comedy,"Tough talk takes a soft turn as Nate, played by comedian Natalie Palamides, explores humor, heartbreak, sexuality and consent — with a live audience."
Paheli,Amol Palekar,"Shah Rukh Khan, Rani Mukerji, Anupam Kher, Dilip Prabhavalkar, Amitabh Bachchan, Juhi Chawla, Nina Kulkarni, Rajpal Yadav",India,2005,0,134 min,"Drama, International , Romantic",Traditional Indian folklore comes alive in this charming film based on a story by Statwart Vijaydan Detha.
Pinky Memsaab,Shazia Ali Khan,"Hajira Yamin, Kiran Malik, Adnan Jaffar, Sunny Hinduja, Khalid Ahmed, Shamim Hilaly, Hajrah Khan, Ahmed Ali Khan","Pakistan, United Arab Emirates",2018,1,124 min,"Drama, Independent , International","When a guileless young woman becomes the domestic worker in a wealthy Dubai household, her bond with her posh employer changes both of their lives."
Power Rangers: Megaforce: The Robo Knight Before Christmas,James Barr,"Andrew M. Gray, Ciara Hanna, John Mark Loudermilk, Christina Masterson, Azim Rizk, Shailesh Prajapati, Ian Harcourt",United States,2013,0,24 min,"Children, Family",Robo Knight learns the meaning of Christmas from a group of children when he is mistaken for a donated Christmas toy and is shipped to a foreign land.
The Land,Youssef Chahine,"Hamdy Ahmed, Nagwa Ibrahim, Ezzat El Alaili, Tawfik El Deken, Yehia Chahine, Mahmoud El Meleigy, Salah El-Saadany, Ali El Sherif",Egypt,1970,1,130 min,"Classic , Drama, International",A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.
The Lion King 2: Simba's Pride,Darrell Rooney,"Matthew Broderick, Neve Campbell, Andy Dick, Robert Guillaume, James Jones, Moira Kelly","United States, Australia",1998,0,84 min,"Action, Adventure, Animation, Family",Simba's strong-willed daughter befriends the heir to Scar's pride.
The Lizzie McGuire Movie,Jim Fall,"Hilary Duff, Adam Lamberg, Robert Carradine, Hallie Todd, Jake Thomas, Yani Gellman",United States,2003,0,95 min,"Comedy, Coming of Age, Family",Lizzie McGuire and her pals go on a class trip to Italy.
The Music of Silence,Michael Radford,"Toby Sebastian, Luisa Ranieri, Jordi Mollà, Antonio Banderas, Ennio Fantastichini, Nadir Caselli, Alessandro Sperduti, Francesco Salvi",Italy,2017,0,115 min,"Drama, International , Music, Musical","Based on the autobiography by tenor Andrea Bocelli, this musical biopic chronicles his life from his bumpy childhood to his meteoric rise to fame."
The Pacifier,Adam Shankman,"Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow, Max Thieriot, Chris Potter","Canada, United States",2005,0,97 min,"Action, Adventure, Comedy, Spy and Espionage",A Navy SEAL gets his toughest mission yet: Babysitting.
