title,director,cast,country,release_year,adult,duration,genres,description
West Coast,Benjamin Weill,"Devi Couzigou, Mathis Crusson, Victor Le Blond, Sullivan Loyez, Pierre-François Martin-Laval, Hugo Chalan-Marchio",France,2016,1,81 min,"Comedy, Drama, International",Four small-town French teens who style themselves after American rappers set out to avenge a classroom insult and end up on a mind-blowing adventure.
A Year in Burgundy,David Kennard,Martine Saunier,"United States, France",2013,0,89 min,"Documentary, Special Interest","The film follows seven wine-making families in the Burgundy region of France through the course of a full year, and delves into the cultural and creative process of making wine, as well as its deep ties to the land. The film is in four season-sections, and plays out against that backdrop: spring showers, drought, heat wave, hail and storms, harvest moons and the damp cold of winter."
Arès,Jean-Patrick Benes,"Ola Rapace, Micha Lescot, Thierry Hancisse, Hélène Fillières, Ruth Vega Fernandez, Louis-Do de Lencquesaing, Eva Lallier, Emilie Gavois-Kahn",France,2016,1,80 min,"Action, Adventure, International , Sci-Fi, Fantasy",A futuristic France tries to keep its people from despair and rebellion over crippling poverty by engaging them with a violent TV competition show.
At All Costs,Mike Nicoll,"Parker Jackson Cartwright, Gabe York",United States,2016,1,81 min,"Documentary, Sports",This revealing documentary explores how the high-stakes world of Amateur Athletic Union basketball has professionalized youth sports in America.
Austin Powers: The Spy Who Shagged Me,Jay Roach,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell",United States,1999,0,95 min,"Action, Adventure, Comedy, Sci-Fi, Fantasy","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's 'mojo,' Austin must return to the swingin' '60s himself."
Behind the Curtain: Todrick Hall,Katherine Fairfax Wright,Todrick Hall,United States,2017,1,100 min,"Documentary, LGBTQ , Music, Musical",Follow singer and YouTube sensation Todrick Hall as he launches an original musical based on growing up gay in Texas and finding showbiz success.
Bizarre Dinosaurs,Jenny Kubo,Peter Cullen,United States,2009,0,46 min,"Animals, Nature, Documentary, Family","Which dinosaurs were the strangest of the strange, and how did they get that way?"
Christine,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith","United Kingdom, United States",2016,1,119 min,"Drama, Independent","In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories."
Desolation,Sam Patton,"Jaimi Paige, Alyshia Ochse, Toby Nichols, Claude Duhamel",United States,2017,1,76 min,"Horror , Thriller","Along with her son and best friend, a grieving widow hikes into the woods to scatter her late husband's ashes, only to discover they're being stalked."
Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington","United States, Germany",2005,0,106 min,"Action, Adventure, Family, Sci-Fi",Four astronauts develop superpowers and must join forces to protect mankind from doom.
